date,time,persons,messages,lab_minutes,week
2019-03-08,13:14:00,x1, XD,416,10
2019-03-08,13:15:00,x2, Quien es Kike y quien ea Lalo?,417,10
2019-03-08,13:15:00,x2, 🤔,417,10
2019-03-08,13:16:00,x3, <Multimedia omitido>,418,10
2019-03-08,13:17:00,x2, Va jeje,419,10
2019-03-08,13:25:00,x4, Naaa mms Jonathan,427,10
2019-03-08,13:25:00,x4, Jajajaja,427,10
2019-03-08,13:25:00,x4, <Multimedia omitido>,427,10
2019-03-08,13:27:00,x5, <Multimedia omitido>,429,10
2019-03-08,13:29:00,x2, Oooo perdon,431,10
2019-03-08,13:29:00,x2, Siempre contra el negro 😭,431,10
2019-03-08,13:30:00,x5, 🥺,432,10
2019-03-08,19:03:00,x5, <Multimedia omitido>,765,10
2019-03-08,19:04:00,x5, Que disfruten su fin chicos ,766,10
2019-03-08,19:04:00,x4, <Multimedia omitido>,766,10
2019-03-08,19:05:00,x3, <Multimedia omitido>,767,10
2019-03-12,13:50:00,x5, a qué hora comemos?,452,11
2019-03-12,13:50:00,x5, 2,452,11
2019-03-12,13:51:00,x4, Si pueden esperar si no denle,453,11
2019-03-12,13:51:00,x2, Por mi no hay bronca,453,11
2019-03-12,13:52:00,x1, A las 2.20 está bien,454,11
2019-03-12,14:04:00,x4, <Multimedia omitido>,466,11
2019-03-12,17:06:00,x2, Si lograrán irse a tiempo?,648,11
2019-03-12,17:08:00,x6, Depende de si @5215522630940 entretiene lo suficiente a hugo jajaja,650,11
2019-03-12,17:08:00,x2, Jejejeje,650,11
2019-03-12,17:08:00,x2, A las 5,650,11
2019-03-12,17:09:00,x6, Yo 5.15,651,11
2019-03-12,17:40:00,x4, @5215525638294 sabes si nos dan jueves y viernes santo??,682,11
2019-03-12,17:40:00,x4, 👉🏻👈🏻,682,11
2019-03-12,17:42:00,x3, Creeeo,684,11
2019-03-12,17:42:00,x3, Creo que sí,684,11
2019-03-12,17:42:00,x4, <Multimedia omitido>,684,11
2019-03-12,17:44:00,x5, Pero solo si fuiste a misa el miércoles de ceniza,686,11
2019-03-12,17:44:00,x4, <Multimedia omitido>,686,11
2019-03-12,17:46:00,x3, 🙋🏿‍♂,688,11
2019-03-12,17:48:00,x5, <Multimedia omitido>,690,11
2019-03-12,17:48:00,x6, Jajajaja,690,11
2019-03-12,17:49:00,x6, Escuché a hugo decir por teléfono q no trabajaría jueves y viernes santo,691,11
2019-03-12,17:49:00,x6, Al menos,691,11
2019-03-12,17:49:00,x4, Jajajjaja,691,11
